time,zeta
01/01/2002 00:00,0.406
01/01/2002 01:00,0.531
01/01/2002 02:00,0.473
01/01/2002 03:00,0.237
01/01/2002 04:00,-0.168
01/01/2002 05:00,-0.597
01/01/2002 06:00,-0.832
01/01/2002 07:00,-0.982
01/01/2002 08:00,-0.931
01/01/2002 09:00,-0.665
01/01/2002 10:00,-0.265
01/01/2002 11:00,0.176
01/01/2002 12:00,0.56
01/01/2002 13:00,0.812
01/01/2002 14:00,0.88
01/01/2002 15:00,0.762
01/01/2002 16:00,0.466
01/01/2002 17:00,0.023
01/01/2002 18:00,-0.401
01/01/2002 19:00,-0.774
01/01/2002 20:00,-0.928
01/01/2002 21:00,-0.918
01/01/2002 22:00,-0.626
01/01/2002 23:00,-0.247
01/02/2002 00:00,0.155
01/02/2002 01:00,0.461
01/02/2002 02:00,0.641
01/02/2002 03:00,0.552
01/02/2002 04:00,0.217
01/02/2002 05:00,-0.223
01/02/2002 06:00,-0.654
01/02/2002 07:00,-0.964
01/02/2002 08:00,-1.032
01/02/2002 09:00,-0.929
01/02/2002 10:00,-0.614
01/02/2002 11:00,-0.235
01/02/2002 12:00,0.222
01/02/2002 13:00,0.599
01/02/2002 14:00,0.896
01/02/2002 15:00,0.968
01/02/2002 16:00,0.821
01/02/2002 17:00,0.479
01/02/2002 18:00,0.026
01/02/2002 19:00,-0.409
01/02/2002 20:00,-0.72
01/02/2002 21:00,-0.81
01/02/2002 22:00,-0.577
01/02/2002 23:00,-0.316
01/03/2002 00:00,0.007
01/03/2002 01:00,0.273
01/03/2002 02:00,0.541
01/03/2002 03:00,0.767
01/03/2002 04:00,0.803
01/03/2002 05:00,0.585
01/03/2002 06:00,0.061
01/03/2002 07:00,-0.35
01/03/2002 08:00,-0.655
01/03/2002 09:00,-0.72
01/03/2002 10:00,-0.648
01/03/2002 11:00,-0.354
01/03/2002 12:00,-0.009
01/03/2002 13:00,0.371
01/03/2002 14:00,0.747
01/03/2002 15:00,0.988
01/03/2002 16:00,1.093
01/03/2002 17:00,0.901
01/03/2002 18:00,0.429
01/03/2002 19:00,-0.046
01/03/2002 20:00,-0.535
01/03/2002 21:00,-0.849
01/03/2002 22:00,-0.957
01/03/2002 23:00,-0.827
01/04/2002 00:00,-0.559
01/04/2002 01:00,-0.186
01/04/2002 02:00,0.15
01/04/2002 03:00,0.434
01/04/2002 04:00,0.553
01/04/2002 05:00,0.449
01/04/2002 06:00,0.04
01/04/2002 07:00,-0.386
01/04/2002 08:00,-0.765
01/04/2002 09:00,-1.004
01/04/2002 10:00,-1.152
01/04/2002 11:00,-0.981
01/04/2002 12:00,-0.667
01/04/2002 13:00,-0.226
01/04/2002 14:00,0.15
01/04/2002 15:00,0.538
01/04/2002 16:00,0.748
01/04/2002 17:00,0.802
01/04/2002 18:00,0.52
01/04/2002 19:00,0.074
01/04/2002 20:00,-0.393
01/04/2002 21:00,-0.72
01/04/2002 22:00,-0.911
01/04/2002 23:00,-0.888
01/05/2002 00:00,-0.647
01/05/2002 01:00,-0.336
01/05/2002 02:00,-0.017
01/05/2002 03:00,0.344
01/05/2002 04:00,0.512
01/05/2002 05:00,0.548
01/05/2002 06:00,0.438
01/05/2002 07:00,0.245
01/05/2002 08:00,-0.113
01/05/2002 09:00,-0.401
01/05/2002 10:00,-0.715
01/05/2002 11:00,-0.82
01/05/2002 12:00,-0.788
01/05/2002 13:00,-0.491
01/05/2002 14:00,-0.162
01/05/2002 15:00,0.251
01/05/2002 16:00,0.483
01/05/2002 17:00,0.706
01/05/2002 18:00,0.734
01/05/2002 19:00,0.484
01/05/2002 20:00,0.046
01/05/2002 21:00,-0.373
01/05/2002 22:00,-0.673
01/05/2002 23:00,-0.894
01/06/2002 00:00,-0.898
01/06/2002 01:00,-0.693
01/06/2002 02:00,-0.39
01/06/2002 03:00,-0.019
01/06/2002 04:00,0.338
01/06/2002 05:00,0.58
01/06/2002 06:00,0.658
01/06/2002 07:00,0.614
01/06/2002 08:00,0.346
01/06/2002 09:00,0.022
01/06/2002 10:00,-0.344
01/06/2002 11:00,-0.626
01/06/2002 12:00,-0.776
01/06/2002 13:00,-0.684
01/06/2002 14:00,-0.402
01/06/2002 15:00,0.027
01/06/2002 16:00,0.319
01/06/2002 17:00,0.587
01/06/2002 18:00,0.467
01/06/2002 19:00,0.259
01/06/2002 20:00,0.005
01/06/2002 21:00,-0.295
01/06/2002 22:00,-0.537
01/06/2002 23:00,-0.795
01/07/2002 00:00,-1.067
01/07/2002 01:00,-1.254
01/07/2002 02:00,-1.176
01/07/2002 03:00,-0.798
01/07/2002 04:00,-0.39
01/07/2002 05:00,-0.072
01/07/2002 06:00,0.217
01/07/2002 07:00,0.392
01/07/2002 08:00,0.34
01/07/2002 09:00,0.076
01/07/2002 10:00,-0.304
01/07/2002 11:00,-0.626
01/07/2002 12:00,-0.847
01/07/2002 13:00,-1.031
01/07/2002 14:00,-1.087
01/07/2002 15:00,-0.874
01/07/2002 16:00,-0.574
01/07/2002 17:00,-0.274
01/07/2002 18:00,0.057
01/07/2002 19:00,0.176
01/07/2002 20:00,0.117
01/07/2002 21:00,-0.027
01/07/2002 22:00,-0.321
01/07/2002 23:00,-0.647
01/08/2002 00:00,-0.948
01/08/2002 01:00,-1.206
01/08/2002 02:00,-1.303
01/08/2002 03:00,-1.11
01/08/2002 04:00,-0.698
01/08/2002 05:00,-0.287
01/08/2002 06:00,0.149
01/08/2002 07:00,0.481
01/08/2002 08:00,0.594
01/08/2002 09:00,0.466
01/08/2002 10:00,0.147
01/08/2002 11:00,-0.253
01/08/2002 12:00,-0.652
01/08/2002 13:00,-0.932
01/08/2002 14:00,-1.041
01/08/2002 15:00,-0.937
01/08/2002 16:00,-0.599
01/08/2002 17:00,-0.318
01/08/2002 18:00,0.004
01/08/2002 19:00,0.158
01/08/2002 20:00,0.27
01/08/2002 21:00,0.219
01/08/2002 22:00,0.025
01/08/2002 23:00,-0.308
01/09/2002 00:00,-0.64
01/09/2002 01:00,-0.873
01/09/2002 02:00,-0.99
01/09/2002 03:00,-0.989
01/09/2002 04:00,-0.803
01/09/2002 05:00,-0.533
01/09/2002 06:00,-0.211
01/09/2002 07:00,0.209
01/09/2002 08:00,0.481
01/09/2002 09:00,0.576
01/09/2002 10:00,0.477
01/09/2002 11:00,0.261
01/09/2002 12:00,-0.109
01/09/2002 13:00,-0.447
01/09/2002 14:00,-0.775
01/09/2002 15:00,-1.019
01/09/2002 16:00,-1.049
01/09/2002 17:00,-0.8
01/09/2002 18:00,-0.459
01/09/2002 19:00,-0.206
01/09/2002 20:00,0.024
01/09/2002 21:00,0.236
01/09/2002 22:00,0.224
01/09/2002 23:00,0.033
01/10/2002 00:00,-0.32
01/10/2002 01:00,-0.671
01/10/2002 02:00,-0.995
01/10/2002 03:00,-1.214
01/10/2002 04:00,-1.276
01/10/2002 05:00,-1.088
01/10/2002 06:00,-0.715
01/10/2002 07:00,-0.263
01/10/2002 08:00,0.149
01/10/2002 09:00,0.434
01/10/2002 10:00,0.507
01/10/2002 11:00,0.418
01/10/2002 12:00,0.129
01/10/2002 13:00,-0.237
01/10/2002 14:00,-0.669
01/10/2002 15:00,-0.942
01/10/2002 16:00,-1.127
01/10/2002 17:00,-1.082
01/10/2002 18:00,-0.839
01/10/2002 19:00,-0.517
01/10/2002 20:00,-0.237
01/10/2002 21:00,0.018
01/10/2002 22:00,0.168
01/10/2002 23:00,0.139
01/11/2002 00:00,-0.028
01/11/2002 01:00,-0.317
01/11/2002 02:00,-0.696
01/11/2002 03:00,-0.999
01/11/2002 04:00,-1.213
01/11/2002 05:00,-1.229
01/11/2002 06:00,-1.023
01/11/2002 07:00,-0.608
01/11/2002 08:00,-0.21
01/11/2002 09:00,0.24
01/11/2002 10:00,0.525
01/11/2002 11:00,0.646
01/11/2002 12:00,0.505
01/11/2002 13:00,0.179
01/11/2002 14:00,-0.292
01/11/2002 15:00,-0.694
01/11/2002 16:00,-0.961
01/11/2002 17:00,-1.099
01/11/2002 18:00,-1.098
01/11/2002 19:00,-0.87
01/11/2002 20:00,-0.57
01/11/2002 21:00,-0.226
01/11/2002 22:00,0.037
01/11/2002 23:00,0.168
01/12/2002 00:00,0.142
01/12/2002 01:00,-0.059
01/12/2002 02:00,-0.427
01/12/2002 03:00,-0.779
01/12/2002 04:00,-1.063
01/12/2002 05:00,-1.213
01/12/2002 06:00,-1.217
01/12/2002 07:00,-0.873
01/12/2002 08:00,-0.458
01/12/2002 09:00,0.001
01/12/2002 10:00,0.342
01/12/2002 11:00,0.612
01/12/2002 12:00,0.645
01/12/2002 13:00,0.51
01/12/2002 14:00,0.175
01/12/2002 15:00,-0.205
01/12/2002 16:00,-0.569
01/12/2002 17:00,-0.74
01/12/2002 18:00,-0.826
01/12/2002 19:00,-0.773
01/12/2002 20:00,-0.589
01/12/2002 21:00,-0.203
01/12/2002 22:00,0.171
01/12/2002 23:00,0.461
01/13/2002 00:00,0.569
01/13/2002 01:00,0.462
01/13/2002 02:00,0.149
01/13/2002 03:00,-0.269
01/13/2002 04:00,-0.697
01/13/2002 05:00,-1.0
01/13/2002 06:00,-1.141
01/13/2002 07:00,-1.004
01/13/2002 08:00,-0.713
01/13/2002 09:00,-0.342
01/13/2002 10:00,0.026
01/13/2002 11:00,0.285
01/13/2002 12:00,0.452
01/13/2002 13:00,0.571
01/13/2002 14:00,0.407
01/13/2002 15:00,0.044
01/13/2002 16:00,-0.316
01/13/2002 17:00,-0.615
01/13/2002 18:00,-0.887
01/13/2002 19:00,-1.034
